r/ri  g(r)
0          0
1.0        0
1.223e+0   7.704e-3
1.270e+0   2.628e-2
1.317e+0   8.583e-2
1.339e+0   1.446e-1
1.361e+0   2.329e-1
1.382e+0   3.314e-1
1.406e+0   4.662e-1
1.425e+0   6.340e-1
1.449e+0   8.086e-1
1.469e+0   1.014e+0
1.492e+0   1.209e+0
1.516e+0   1.403e+0
1.536e+0   1.555e+0
1.560e+0   1.723e+0
1.582e+0   1.921e+0
1.604e+0   2.028e+0
1.628e+0   2.124e+0
1.650e+0   2.179e+0
1.673e+0   2.225e+0
1.707e+0   2.209e+0
1.717e+0   2.168e+0
1.742e+0   2.107e+0
1.763e+0   2.056e+0
1.788e+0   1.995e+0
1.810e+0   1.927e+0
1.833e+0   1.846e+0
1.858e+0   1.753e+0
1.879e+0   1.652e+0
1.904e+0   1.574e+0
1.926e+0   1.484e+0
1.949e+0   1.379e+0
1.972e+0   1.302e+0
1.995e+0   1.232e+0
2.020e+0   1.150e+0
2.040e+0   1.075e+0
2.066e+0   9.929e-1
2.087e+0   9.461e-1
2.113e+0   8.872e-1
2.158e+0   8.057e-1
2.191e+0   7.836e-1
2.203e+0   7.373e-1
2.238e+0   7.162e-1
2.252e+0   6.875e-1
2.292e+0   6.659e-1
2.308e+0   6.471e-1
2.348e+0   6.358e-1
2.387e+0   6.178e-1
2.430e+0   6.322e-1
2.477e+0   6.406e-1
2.521e+0   6.592e-1
2.565e+0   6.971e-1
2.611e+0   7.192e-1
2.654e+0   7.546e-1
2.695e+0   7.970e-1
2.731e+0   8.432e-1
2.772e+0   8.805e-1
2.816e+0   9.410e-1
2.856e+0   9.748e-1
2.889e+0   1.020e+0
2.930e+0   1.059e+0
2.972e+0   1.111e+0
3.016e+0   1.141e+0
3.057e+0   1.168e+0
3.089e+0   1.203e+0
3.128e+0   1.217e+0
3.175e+0   1.229e+0
3.220e+0   1.242e+0
3.264e+0   1.234e+0
3.311e+0   1.224e+0
3.355e+0   1.204e+0
3.399e+0   1.182e+0
3.444e+0   1.162e+0
3.490e+0   1.130e+0
3.507e+0   1.104e+0
3.542e+0   1.094e+0
3.555e+0   1.062e+0
3.595e+0   1.040e+0
3.619e+0   1.014e+0
3.657e+0   1.003e+0
3.687e+0   9.706e-1
3.729e+0   9.458e-1
3.758e+0   9.133e-1
3.800e+0   8.960e-1
3.832e+0   8.840e-1
3.871e+0   8.809e-1
3.916e+0   8.763e-1
3.961e+0   8.659e-1
4.006e+0   8.718e-1
4.053e+0   8.764e-1
4.096e+0   8.952e-1
4.139e+0   9.046e-1
4.186e+0   9.179e-1
4.229e+0   9.363e-1
4.275e+0   9.488e-1
4.320e+0   9.560e-1
4.363e+0   9.792e-1
4.409e+0   1.005e+0
4.452e+0   1.025e+0
4.500e+0   1.036e+0
4.545e+0   1.054e+0












