r				g(r)
2.479380000000000195e-01 0.000000000000000000e+00
7.438140000000000862e-01 0.000000000000000000e+00
1.239690000000000181e+00 0.000000000000000000e+00
1.735566000000000164e+00 0.000000000000000000e+00
2.231442000000000370e+00 0.000000000000000000e+00
2.727318000000000353e+00 0.000000000000000000e+00
3.223194000000000337e+00 1.825740862882635528e-04
3.719070000000000320e+00 4.364695510329915512e-03
4.214946000000000303e+00 1.263993738074868090e-01
4.710822000000000287e+00 8.929740666928802639e-01
5.206698000000001159e+00 1.877176423235958680e+00
5.702574000000000254e+00 1.951580655455035451e+00
6.198450000000001125e+00 1.526192381871464887e+00
6.694326000000000221e+00 1.080806152217724581e+00
7.190202000000001092e+00 8.338789645548430052e-01
7.686078000000000188e+00 7.273867605703985273e-01
8.181954000000001059e+00 7.309339577744801142e-01
8.677830000000000155e+00 7.985638306399166497e-01
9.173706000000001026e+00 9.126642244995331055e-01
9.669582000000001898e+00 1.041368585564817373e+00
1.016545800000000099e+01 1.171421579935683965e+00
1.066133400000000009e+01 1.192453035537316408e+00
1.115721000000000096e+01 1.139999490892015910e+00
1.165308600000000183e+01 1.049838203753631571e+00
1.214896200000000093e+01 9.797442666322880855e-01
1.264483800000000002e+01 9.125321815972481376e-01
1.314071400000000089e+01 9.114665790423790437e-01
1.363659000000000177e+01 9.510605308930100144e-01
1.413246600000000086e+01 9.667814753283012763e-01
1.462834199999999996e+01 1.030949382648659096e+00
1.512421800000000083e+01 1.067354855119634793e+00
1.562009400000000170e+01 1.066011713708683306e+00
1.611597000000000079e+01 1.062067346904863818e+00
1.661184599999999989e+01 1.006965723768190379e+00
1.710772200000000254e+01 9.818269664199995583e-01
1.760359800000000163e+01 9.705233055633484263e-01
1.809947400000000073e+01 9.597104110865150028e-01
1.859535000000000338e+01 9.738257885136712977e-01
1.909122599999999892e+01 1.000183768277666418e+00
1.958710200000000157e+01 1.030215949512058193e+00
2.008297800000000422e+01 1.049641707594679563e+00
2.057885399999999976e+01 1.037211142365584982e+00
2.107473000000000241e+01 1.022647676545165973e+00
2.157060600000000150e+01 9.969296155104999668e-01
2.206648200000000060e+01 9.854931483149523830e-01
2.256235800000000324e+01 9.642446511045384971e-01
2.305823399999999879e+01 9.584893405517770359e-01
2.355411000000000143e+01 9.583420683040380084e-01
2.404998600000000408e+01 9.579730413862590499e-01
2.454586199999999963e+01 9.628229100775007598e-01
