r				g(r)
2.479380000000000195e-01 0.000000000000000000e+00
7.438140000000000862e-01 0.000000000000000000e+00
1.239690000000000181e+00 0.000000000000000000e+00
1.735566000000000164e+00 0.000000000000000000e+00
2.231442000000000370e+00 0.000000000000000000e+00
2.727318000000000353e+00 0.000000000000000000e+00
3.223194000000000337e+00 1.519016397918352822e-04
3.719070000000000320e+00 3.631426664594489782e-03
4.214946000000000303e+00 1.051642790078290285e-01
4.710822000000000287e+00 7.429544234884764009e-01
5.206698000000000270e+00 1.561810784132317664e+00
5.702574000000000254e+00 1.623715105338589426e+00
6.198450000000000237e+00 1.269792061717058829e+00
6.694326000000000221e+00 8.992307186451468093e-01
7.190202000000000204e+00 6.937872985096293910e-01
7.686078000000000188e+00 6.051857847945715241e-01
8.181954000000001059e+00 6.081370528683675003e-01
8.677830000000000155e+00 6.644051070924106295e-01
9.173706000000001026e+00 7.593366347836114638e-01
9.669582000000000122e+00 8.664186631899279956e-01
1.016545800000000099e+01 9.746227545064890530e-01
1.066133400000000009e+01 9.921209255670472293e-01
1.115721000000000096e+01 9.484795764221571890e-01
1.165308600000000006e+01 8.734653855230215536e-01
1.214896200000000093e+01 8.151472298380636472e-01
1.264483800000000180e+01 7.592267750889104549e-01
1.314071400000000089e+01 7.583401937632593404e-01
1.363659000000000177e+01 7.912823617029842715e-01
1.413246600000000086e+01 8.043621874731466947e-01
1.462834200000000173e+01 8.577498863636843218e-01
1.512421800000000083e+01 8.880392394595361116e-01
1.562009400000000170e+01 8.869217458056245507e-01
1.611597000000000079e+01 8.836400326248468051e-01
1.661184599999999989e+01 8.377954821751343317e-01
1.710772200000000254e+01 8.168800360614396627e-01
1.760359800000000163e+01 8.074753902287058471e-01
1.809947400000000073e+01 7.984790620239804460e-01
1.859534999999999982e+01 8.102230560433745232e-01
1.909122600000000247e+01 8.321528952070184060e-01
1.958710200000000157e+01 8.571396699940323494e-01
2.008297800000000066e+01 8.733019007187733385e-01
2.057885400000000331e+01 8.629596704481665714e-01
2.107473000000000241e+01 8.508428668855780863e-01
2.157060600000000150e+01 8.294454401047359760e-01
2.206648200000000060e+01 8.199302993980404075e-01
2.256235800000000324e+01 8.022515497189760536e-01
2.305823400000000234e+01 7.974631313390785348e-01
2.355411000000000143e+01 7.973406008289596336e-01
2.404998600000000053e+01 7.970335704333675331e-01
2.454586200000000318e+01 8.010686611844806126e-01
