r				g(r)
2.479380000000000195e-01 0.000000000000000000e+00
7.438140000000000862e-01 0.000000000000000000e+00
1.239690000000000181e+00 0.000000000000000000e+00
1.735566000000000164e+00 0.000000000000000000e+00
2.231442000000000370e+00 0.000000000000000000e+00
2.727318000000000353e+00 0.000000000000000000e+00
3.223194000000000337e+00 4.746926243494852676e-02
3.719070000000000320e+00 2.960789913176285482e-01
4.214946000000000303e+00 8.056649472254155953e-01
4.710822000000000287e+00 1.948727079119148442e+00
5.206698000000000270e+00 1.704763191591298632e+00
5.702574000000000254e+00 1.076643525801025403e+00
6.198450000000000237e+00 1.100315236210686942e+00
6.694326000000000221e+00 9.081468693404926018e-01
7.190202000000000204e+00 9.458495033195042367e-01
7.686078000000000188e+00 9.414978455925810952e-01
8.181954000000001059e+00 9.245815422932427419e-01
8.677830000000000155e+00 1.068616259012995284e+00
9.173706000000001026e+00 9.885254350961629743e-01
9.669582000000000122e+00 1.044040871741908294e+00
1.016545800000000099e+01 1.014487027013801779e+00
1.066133400000000009e+01 1.082713298928115853e+00
1.115721000000000096e+01 1.038633087137398325e+00
1.165308600000000006e+01 9.914257692923833520e-01
1.214896200000000093e+01 1.028978629432484748e+00
1.264483800000000180e+01 9.239109699858005786e-01
1.314071400000000089e+01 9.954193938975153255e-01
1.363659000000000177e+01 1.048959819648894065e+00
1.413246600000000086e+01 1.001879980854156527e+00
1.462834200000000173e+01 9.411167613165805079e-01
1.512421800000000083e+01 1.028166195885888534e+00
1.562009400000000170e+01 1.011313740954545626e+00
1.611597000000000079e+01 1.001024736019335171e+00
1.661184599999999989e+01 1.040635636041995493e+00
1.710772200000000254e+01 9.661623296620497348e-01
1.760359800000000163e+01 9.840914187796754309e-01
1.809947400000000073e+01 1.017485885340074336e+00
1.859534999999999982e+01 1.000098262819153261e+00
1.909122600000000247e+01 9.313347601049756230e-01
1.958710200000000157e+01 1.003392309359038892e+00
2.008297800000000066e+01 1.018405228306429100e+00
2.057885400000000331e+01 1.028489967916338177e+00
2.107473000000000241e+01 1.014593071095309273e+00
2.157060600000000150e+01 1.001403265540221188e+00
2.206648200000000060e+01 9.678631844517198157e-01
2.256235800000000324e+01 1.030714287879298086e+00
2.305823400000000234e+01 9.468065269351265689e-01
2.355411000000000143e+01 9.689038183747207267e-01
2.404998600000000053e+01 1.012397549919301420e+00
2.454586200000000318e+01 9.947881033010830265e-01
